TURN,UTTERANCE,DA,EMOTION
Ses05F_script03_2_F038,"No, no.  I'm tired of listening to you.  You're boorish and idiotic and completely overbearing.",o,ang
Ses05F_script03_2_M041,Very music- amusing indeed.,dag,ang
Ses05F_script03_2_F039,"Yeah, very amusing.  Let me go.  I'm getting out of here.  I can't believe I intended to marry you.",o,ang
Ses05F_script03_2_M042,"You are a vile tempered, loose living, wicked little beast, and I never want to set eyes on you again.",o,ang
Ses05F_script03_2_F040,"Oh, marry you again?  I must have been insane.  What was I thinking?  I mean, you're completely outrageous.",o,ang
Ses05F_script03_2_M043,"Shut up, shut up.  I wouldn't marry you again if you came crawling to me on bended knee. You're a mean, evil-minded little vampire and I hope to God I never set eyes on you again.",s,ang
Ses05F_script03_2_F041,Beast; brute; cad; whore,o,ang
Ses05M_impro01_F000,Can I help you?,q,neu
Ses05M_impro01_M000,"Yes, I'm um- just getting my I.D.  I need a new I.D.",ans,xxx
Ses05M_impro01_F001,"Oh, this- this form that you have is the wrong form.  You need to go over to the other line on the other side of the D.M.V..",s,neu
Ses05M_impro01_M001,What do you mean?  I filled out my forms and I rushed to get my I.D.,s,xxx
Ses05M_impro01_F002,"Right, but this is the wrong form.  Somebody gave you the wrong form.",s,neu
Ses05M_impro01_M002,The wrong form?,q,xxx
Ses05M_impro01_F003,"Yeah.  So, I can't -- I can't do anything-",ans,neu
Ses05M_impro01_M003,What's wrong about this form?  It says new I.D. on it.,q,xxx
Ses05M_impro01_F004,"No, but this is for um- replacements and you need a new -- whole new license as a California --",ans,neu
Ses05M_impro01_M004,What's the difference?  What's the difference between that form and this form?,q,fru
Ses05M_impro01_F005,"Sir, don't get an attitude with me.",ans,fru
Ses05M_impro01_M005,"I'm not getting a -- well, you wait in this line and not get an attitude.",s,ang
Ses05M_impro01_F006,"No, I understand and there are a lot of people here.  But what I'm telling you is that it's different for different states and since your getting a new license in the state of California -- You have to fill out a different form than you did.",s,neu
Ses05M_impro01_M006,yeah.,b,xxx
Ses05M_impro01_M007,right.,b,xxx
Ses05M_impro01_M008,"Well then, when I showed them my I.D. before and I said I had to get a new I.D, why didn't they tell me to fill out the right form?",q,fru
Ses05M_impro01_F007,I don't know.  I don't know who told you.  It wasn't me.,ans,fru
Ses05M_impro01_M009,"Well, it was this girl standing right next to you.  Can we ask her why she didn't let me fill out the right form?",q,fru
Ses05M_impro01_F008,"You- You can ask her if you want, but she's busy and she probably won't answer you.",ans,fru
Ses05M_impro01_M010,This is ridiculous.  I've been here for forty five minutes. Just standing in this one line. I took fifteen minutes to fill out that form.,o,xxx
Ses05M_impro01_F009,I know.,ag,neu
Ses05M_impro01_F010,"Sir, you- I mean",b,fru
Ses05M_impro01_M011,Do you know how long it's gonna take me to start all over and fill out the new form?,q,fru
Ses05M_impro01_F011,You can waist as much as you want,s,fru
Ses05M_impro01_F012,Yeah.  I know it's gonna take a minute.  But you-- so you might as well get started now.,ans,neu
Ses05M_impro01_M012,Might as well get started now? but Just take this one.,c,fru
Ses05M_impro01_F013,"I can't take this one, sir. this is the wrong form.",dag,fru
Ses05M_impro01_M013,Why can't we just -- you know what?  How about if we just pretend that I'm getting a -- renewing my California I.D. and we just don't tell anybody -- That I'm getting a new one from a different state?,q,fru
Ses05M_impro01_F014,"Sir, please don't waste my time.",ans,fru
Ses05M_impro01_F015,There is nothing I can do about it.  You need to take this other form and fill it out and go stand in the other line.,s,fru
Ses05M_impro01_M014,"Come on!  You know -- you can't just take -- make a little exception to the rule?  I know that you guys make exceptions.  I see -- you know, if I was-if I was your friend and you knew me, or something like that, you'd probably make a little exception for me wouldn't you?",q,fru
Ses05M_impro01_F016,"They're different forms, we process them all different-",ans,fru
Ses05M_impro01_M015,"Wouldn't you? Oh, come on.  you just tell me.  You would make an exception for me.",q,ang
Ses05M_impro01_F017,I -- there's no way I'd make an exception.,ans,fru
Ses05M_impro01_F018,"Sir, don't patronize me.  I can't make an exception.  I don't- I don't have the power to do that.  It's a different form.",o,fru
Ses05M_impro01_M016,Shh...I know you've got the power to do that.,dag,fru
Ses05M_impro01_F019,They're processed differently.,s,fru
Ses05M_impro01_M017,That's crap- You're crap.  I don't buy it.,o,fru
Ses05M_impro01_F020,"Sir, you're gonna have to go stand in the other line.",s,fru
Ses05M_impro01_M018,I'm not leaving this line until I get my new I.D.  That's as simple as it is.  I'm not leaving this line until I get my new I.D.,o,fru
Ses05M_impro01_F021,I'm gonna- I'm gonna bring security over and have them escort you out.,s,ang
Ses05M_impro01_M019,"Well, then you're just gonna look stupid because I'm just waiting for an I.D. and you're gonna make security take me out because I want my I.D.",o,fru
Ses05M_impro01_M020,That's just dumb.,o,fru
Ses05M_impro01_F022,But you filled out the wrong form and you're in the wrong line and you're wasting both of our times.,s,fru
Ses05M_impro01_M021,I filled out the wrong form because they made me fill out the wrong form!,s,fru
Ses05M_impro01_F023,"Well, that's unfortunate, sir.  You're gonna have to go stand in the other line now.",s,ang
Ses05M_impro01_M022,"This is crap.  You know, I don't even know why I'm in this state.  Screw California.  I'm out of here.",o,fru
Ses05M_impro02_F000,What is it?,q,xxx
Ses05M_impro02_M000,"Sweetheart, I've got to tell you something.  I just got a call.  I'm going to Iraq.",ans,sad
Ses05M_impro02_F001,What?,q,sur
Ses05M_impro02_M001,"I know it's really crappy timing, but I don't have a choice.",ans,sad
Ses05M_impro02_F002,"What?  No, you can't!",s,fea
Ses05M_impro02_M002,I know. I have to go-,ag,xxx
Ses05M_impro02_F003,You didn't- Did you tell them you have two young children at home?,q,fea
Ses05M_impro02_M003,"You think they'd listen to me?  No.  Of course, I told them that.",ans,xxx
Ses05M_impro02_F004,And they didn't care?,q,xxx
Ses05M_impro02_M004,No.,ans,xxx
Ses05M_impro02_M005,I don't know what to do.  I'm - Sorry,ap,xxx
Ses05M_impro02_F005,They can't do that to you.,o,xxx
Ses05M_impro02_M006,I know.,ag,xxx
Ses05M_impro02_M007,"I don't have a choice.  I have to go.  If I don't go, they'll come and take me.",o,sad
Ses05M_impro02_F006,"No, we have- There's got to be something you can do.  You can't go.",dag,fru
Ses05M_impro02_M008,I've tried everything.  I've called everyone I know.  I've tried everything. No one can do anything for me or they won't do anything for me.,s,fru
Ses05M_impro02_F007,How long do you have to go for?,q,xxx
Ses05M_impro02_M009,At least a year.,ans,xxx
Ses05M_impro02_F008,What?,q,sur
Ses05M_impro02_M010,I know.,ag,sad
Ses05M_impro02_M011,I don't want to -- the kids.  You've got to take care of them.  You've got- you've got to-,o,sad
Ses05M_impro02_M012,"tell them about me and show them pictures of me and everything like that, because they are not going to see me for such a long time.  And it's such an important time and I just don't want to miss it.",o,sad
Ses05M_impro02_F009,There's got to be something we can do.  You can't just go.,o,fru
Ses05M_impro02_MXX0,I don't know what to-,s,-
Ses05M_impro02_M013,I don't have -- I know.  What are we gonna- What are we- just run away?  What can I do?  Where can we go?,q,sad
Ses05M_impro02_F010,Why don't we do that- Can we- Can we just leave the country?,q,fru
Ses05M_impro02_M014,Where are we gonna go?,q,xxx
Ses05M_impro02_M015,Where are we gonna go?,q,xxx
Ses05M_impro02_F011,I don't know.,ans,xxx
Ses05M_impro02_M016,They'll find me anyway.  You know they will.,o,xxx
Ses05M_impro02_F012,What would be the worst that would happen if they found you somewhere else?,q,neu
Ses05M_impro02_M017,"They'd put me in jail and then how long- when will I get to see the kids?  What, ten years?  I don't know.",ans,fru
Ses05M_impro02_F013,"Well, they're so young.",s,sad
Ses05M_impro02_M018,I know.  But I'll-I'll send the pictures all the time and I'll write them emails and you can read them the emails that I send them.,s,sad
Ses05M_impro02_F014,Where are you gonna be stationed?  What are you gonna be doing?,q,xxx
Ses05M_impro02_M019,"I'm gonna be in Bagdad, just doing security.",ans,sad
Ses05M_impro02_F015,"Are you gonna be like in tanks running around?  What- I mean, what does that mean?",q,fea
Ses05M_impro02_M020,"Yeah, it's gonna be everything.  I'm gonna be in the front.  I'll be -- it's not gonna be safe.",ans,xxx
Ses05M_impro02_F016,"Oh, my God.",s,fea
Ses05M_impro02_M021,I just want to be honest with you.  I don't want you to .,o,sad
Ses05M_impro02_M022,"but, it's gonna be fine.  I'm gonna be fine.  You know I'm good at this.  I can do this.  That's why I trained all this time.  I'm good at this.  Okay?",o,sad
Ses05M_impro02_F017,But so many people have died.,s,fea
Ses05M_impro02_M023,"I know.  I know.  I know.  But, you know what?  That doesn't mean it's gonna be me; does it?",q,sad
Ses05M_impro02_F018,"I know.  I know.  I know I know. You're good You're good at what you do, but there's just so much chance involved.",ans,xxx
Ses05M_impro02_M024,No.  It doesn't.  And you can't think like that.,o,sad
Ses05M_impro02_F019,"I mean, I-I know that you're a good soldier, but not everybody else is. and what if",o,fea
Ses05M_impro02_M025,I don't want you to -- I know.  I know. You can't worry about me.  You've got to worry about the kids.  And you've got to take care of the kids for me.  Okay?  Take care of the kids for me; all right?,o,sad
Ses05M_impro02_M026,"And you know my mom's here.  She'll come over and she'll be with you all the time, whenever you need her.",s,xxx
Ses05M_impro02_F020,It's just so much.,o,sad
Ses05M_impro02_M027,"I'll miss you, baby.",o,sad
Ses05M_impro02_F021,[GARBAGE] You have to write me everyday.,s,sad
Ses05M_impro02_M028,"All- I'll write you everyday, all the time.  And I'll send you pictures and you send me pictures. I know We've got email out there.  We've got email and I can see stuff and you can send me stuff all the time.  Okay?",s,sad
Ses05M_impro02_F022,"Can I send you, like videos and stuff? What about when they start walking.",q,xxx
Ses05M_impro02_M029,yeah yeah yeah.,ans,sad
Ses05M_impro02_M030,You you record every second.  You record every second because I want to see it all.  Okay?,s,exc
Ses05M_impro02_M031,"If I don't get to see it now, I get to see it later at least, you know?  You've got to keep it all for me; all right?",q,xxx
Ses05M_impro02_F023,okay.,ans,sad
Ses05M_impro02_M032,I love you.  Okay?,o,xxx
Ses05M_impro02_F024,[GARBAGE],oth,sad
Ses05M_impro03_M000,Guess what?,q,exc
Ses05M_impro03_F000,what?,q,neu
Ses05M_impro03_M001,"I did it, I asked her to marry me.",ans,exc
Ses05M_impro03_F001,What? you did?,q,sur
Ses05M_impro03_M002,"Yes, I did it.",ans,exc
Ses05M_impro03_F002,When?,q,exc
Ses05M_impro03_M003,"Oh my god, it was just last weekend.",ans,exc
Ses05M_impro03_F003,"Oh, what, how- where how did you do it?",q,exc
Ses05M_impro03_M004,"She--,well, she said yes, first of all, let me say that right off the bat. Well, I would like to assume, too.  But you never know these things, right?",ans,hap
Ses05M_impro03_F004,Okay good. I I assumed.,o,exc
Ses05M_impro03_M005,"Um-, but no- It was It was great.  It was really great.  I think she was really surprised and she was really happy. um-",s,xxx
Ses05M_impro03_F005,oh-,b,hap
Ses05M_impro03_M006,"I did it up at Yosemite.  We went camping right like we usually do.  You know we go camping up there all the time.  But, um- the waterfalls had died down a little bit, you know. And so uh- we-I had her climb up.",s,hap
Ses05M_impro03_M007,"You know- we did some- you know some rock climbing up the waterfalls and went up to this little pool that was up there.  And then, I- it's great. Um- You have to climb this little rock-",s,hap
Ses05M_impro03_F006,uh-huh,b,neu
Ses05M_impro03_M008,"and you can climb it and it's covered in algae you know. So, I wanted her to climb it to go take a picture, like, back in this little waterfall area, and she got back there and she took her picture. And then, I had her come back.  And I was going to do the same thing.",s,hap
Ses05M_impro03_M009,"Well, instead I climb up on the rock and like I- I didn't do it -- well, I did it on purpose. I made it look like I accidentally did it.  I slipped down into this pool of water, right?  And she freaks out because I slide all the way down this rock.  And um-",s,hap
Ses05M_impro03_FXX0,uh-huh,b,-
Ses05M_impro03_M010,"And I pop up out of the water -- and I had planned it already, you know? I pop up out of the water and I [BREATHING] and I like, grab her hand, you know.  and that In my hand, I've got the ring.",s,hap
Ses05M_impro03_M011,"And she's like- she feels it you know and she doesn't know what it is.  And she you know helps me get out and I won't let go of her hand.  And she's like, what are you doing?  I and said, You saved my life, now will you marry me?",s,hap
Ses05M_impro03_F007,"Oh, my God.  That's so dramatic.",o,exc
Ses05M_impro03_M012,Wasn't that great? I didn't want it to be too hokey.but- but- She liked it.She liked it.,s,hap
Ses05M_impro03_F008,so cute.,o,hap
Ses05M_impro03_F009,"No, it's totally original, though.",o,hap
Ses05M_impro03_F010,oh.,b,hap
Ses05M_impro03_M013,"Yeah.  And she said yes.  And she cried, of course.",s,hap
Ses05M_impro03_F011,"Oh, Then you had a whole weekend of camping?",q,hap
Ses05M_impro03_M014,"Yes.  We did that in the beginning, exactly.  So we had, so we just had, you know, good times the rest of the weekend, yeah.",ans,hap
Ses05M_impro03_F012,"Oh, right. sure [LAUGHTER]",ag,hap
Ses05M_impro03_M015,It was a lot of fun- It was a lot of fun.  She's great.  And I'm so happy.,o,hap
Ses05M_impro03_F013,So where are you going to have your wedding?,q,hap
Ses05M_impro03_M016,"We're going to do it back in the Midwest where her family all is.  They're all out there. you know so, Um  And so, just gonna have a small, small wedding. But, um- you know, of course, you're going to come, right?",ans,hap
Ses05M_impro03_F014,Yeah. of course.,ag,exc
Ses05M_impro03_M017,Okay good. And uh- I want you to be in it actually.,s,xxx
Ses05M_impro03_F015,Okay Okay.,ag,exc
Ses05M_impro03_M018,"Um- And she wants you to be in it, too.  She loves you so much. She thinks you're the sweetest.  Of course, you are.  You're You're my best friend so-",s,hap
Ses05M_impro03_FXX0,Awe.,b,-
Ses05M_impro03_F016,Where is she right now?,q,hap
Ses05M_impro03_M019,"oh, She's back at work. yeah.",ans,neu
Ses05M_impro03_F017,"Yeah,I'll hang out with the both of you.",s,hap
Ses05M_impro03_M020,Of course.  We'll go out to dinner later this week.,ag,exc
Ses05M_impro03_F018,yes.,ag,exc
Ses05M_impro03_M021,It will be perfect.,o,exc
Ses05M_impro03_F019,Oh I'm so excited for you.,o,exc
Ses05M_impro03_M022,"Yes, me too. Oh I am so in love.",o,xxx
Ses05M_impro03_F020,oh.,b,hap
Ses05M_impro03_M023,She's the one.,s,hap
Ses05M_impro03_F021,"Oh, my gosh.  You told your parents already? and everything",q,hap
Ses05M_impro03_M024,Of course.  I told them right away.  We called them all right them.,ans,hap
Ses05M_impro03_F022,Are they so excited?,q,hap
Ses05M_impro03_M025,"Oh, yeah.  My mom's freaking out. Oh yeah, She's so happy. this is you know  It's her dream come true.  She always wanted her little boy -- she wants kids, you know.",ans,hap
Ses05M_impro03_M026,She wants grandkids. So we'll be working on that right away.,s,hap
Ses05M_impro03_FXX1,right right.,ag,-
Ses05M_impro03_F023,Are you guys gonna have kids?,q,exc
Ses05M_impro03_M027,"Of course, we're gonna have kids, like three at least.",ans,hap
Ses05M_impro03_F024,Yeah?,q,xxx
Ses05M_impro03_F025,"Whoa, right away?.",q,xxx
Ses05M_impro03_M028,"She wants like eight- She wants like eight kids and I'm like, no, no, no, no, no.  I am like what Let's do maybe three and we'll go with that.",ans,hap
Ses05M_impro03_F026,Are you going to start right away?,q,neu
Ses05M_impro03_M029,"Well, we're going to take a little bit of time, you know, we need to get acclimated and you know start our lives, make money, you know be comfortable.",ans,exc
Ses05M_impro03_F027,"Yeah, have you ever like lived with someone else before?",q,neu
Ses05M_impro03_M030,"Oh, yeah, yeah, yeah, yeah I mean, actually we lived together awhile back when we -- Yeah, back in college for a little while. yeah.",ans,hap
Ses05M_impro03_F028,"Oh, did you?  I didn't know that.",s,xxx
Ses05M_impro03_F029,oh.,b,xxx
Ses05M_impro03_M031,But that- so we are really used to each other. We took the time apart and now we're going to get back together.  We're going to move in soon.,s,hap
Ses05M_impro03_F030,Oooh,b,neu
Ses05M_impro03_M032,it's great. I'm a lucky man.,o,hap
Ses05M_impro03_F031,"That's incredible yeah ,Congratulations.",o,hap
Ses05M_impro03_M033,Thank you.,g,hap
Ses05M_impro04_M000,"Uh, God.  I don't know what to do anymore.  Like I said --",s,fru
Ses05M_impro04_F000,What do you mean?,q,xxx
Ses05M_impro04_M001,"I don't know.  There's nothing for me out there.  I can't get a job.  I haven't gotten a job in a year, three years.  What is it, three years now; right? That I haven't been able to have a job.",ans,fru
Ses05M_impro04_F001,Really? It's been that long?,q,neu
Ses05M_impro04_M002,"Something like that.  I can't even remember anymore. I don't know what to do anymore.  I just get out there everyday -- well, not everyday, almost everyday.",ans,fru
Ses05M_impro04_F002,Wow.,b,neu
Ses05M_impro04_M003,And try to do something. I mean-,s,fru
Ses05M_impro04_F003,What have you been trying?,q,neu
Ses05M_impro04_M004,"Well, everything.  I'll do temping, you know, office work.  You know, whatever to pay the bills.  You know, I'll do anything.",ans,fru
Ses05M_impro04_M005,"But, I mean, I don't want to keep those jobs.  I don't want those jobs.It's not what I want to do.",s,fru
Ses05M_impro04_F004,Right.,ag,neu
Ses05M_impro04_M006,"But, I don't know.  God, what am I going to do?  Should I go back to school?  I can't- I can't afford to go back to school.",s,fru
Ses05M_impro04_M007,What do you do?,q,fru
Ses05M_impro04_F005,"Well, I mean, right now I'm just doing a little bit of everything.  And I don't- I don't think that I'm in like a profession, like career oriented place.",ans,neu
Ses05M_impro04_M008,"You plan on being there forever? I mean, Like, what do you --",q,neu
Ses05M_impro04_F006,"No.  I'm just working in restaurants and stuff. But, I'm also trying to audition and what not.  So, it's --",ans,neu
Ses05M_impro04_M009,yeah.,b,neu
Ses05M_impro04_M010,right.,b,neu
Ses05M_impro04_M011,"Yeah, yeah.  Well, hello.  That's what I'm doing too.  But I can't get the restaurant job.  I can't get -- -- the restaurant gig.  No one will give me anything.",s,fru
Ses05M_impro04_F007,Really?,q,neu
Ses05M_impro04_M012,"I go in for these interviews, and they're all cool and everything, you know.  Their nice and I'm nice to them, you know, give and take, back and forth, and whatever.",ans,fru
Ses05M_impro04_M013,But they always go with somebody else.,s,fru
Ses05M_impro04_F008,"L.A. is really hard.  I mean, have you tried like just going into a bar a couple of times to make friends with people who work there? and",q,neu
Ses05M_impro04_M014,"Yeah, absolutely.  Hello?  You know me.  I go to bars all the time.  Like, they all know me, you know.  But no one wants to hire me.",ans,fru
Ses05M_impro04_M015,"but Maybe they don't want to hire me because they know me. I don't know, what's wrong with me, Is there something wrong with me?",q,fru
Ses05M_impro04_F009,"I was just going to say that's your issue. Maybe you are going in too much. No, I mean, just",ans,neu
Ses05M_impro04_F010,are you going into the bars every night?,q,neu
Ses05M_impro04_M016,"I mean, You can tell me what.  Why is no one hiring me?  Is it me?  Be honest.  You can tell me. you know I can take it.  I can take it, you just tell me. Why?",q,fru
Ses05M_impro04_F011,"Well, I don't really know.  I don't I don't know you in like a job situation, so.",ans,neu
Ses05M_impro04_M017,"Yeah, but I'm -- okay, well how about personality wise?  I mean, people who know me won't hire me.  Why?",q,fru
Ses05M_impro04_F012,"Wow.  I don't -- I mean, do you- do you have an attitude problem when you're on the job?",q,neu
Ses05M_impro04_M018,"I don't think I have an attitude problem when I'm on the job, no- I have an attitude problem right now because I don't have a job.",ans,xxx
Ses05M_impro04_F013,Maybe [garbage].,s,neu
Ses05M_impro04_F014,"Right.  Maybe you have, like, you know a little bit of an abrasive vibe or something.",o,neu
Ses05M_impro04_M019,An abrasive vibe?,q,ang
Ses05M_impro04_F015,I don't know.  I'm I'm just trying --,ans,neu
Ses05M_impro04_M020,"Let me know that's -- that's fine.  You think I have an abrasive vibe, whatever.  You're entitled to your opinion, of course.  Maybe that's why I don't have a job.",o,ang
Ses05M_impro04_F016,Are you getting defensive?,q,neu
Ses05M_impro04_M021,"No.  I'm not getting defensive.  I'm not getting defensive.  No. I asked you a question, you told me.  What?",ans,xxx
Ses05M_impro04_F017,Yeah.  That might be something you want to look at.  I mean --,o,neu
Ses05M_impro04_M022,"I'm not like this all the time.  I mean, I don't -- I'm just frustrated right now, all right.  I just want to do --",o,fru
Ses05M_impro04_F018,Okay.,b,neu
Ses05M_impro04_M023,"I want to make some money.  I need to make some money.  I've got to pay some bills, I owe people money.  I owe lots of people money.  I need to make some money.",o,fru
Ses05M_impro04_F019,I understand.,ag,neu
Ses05M_impro04_F020,"Yeah, it's stressful.  I recognize that.",o,neu
Ses05M_impro04_M024,"Do you have any idea how I can make money?  I mean, what can I do to make some quick money, something?  Anything, that's relatively within the you know law.",q,fru
Ses05M_impro04_F021,ah.,b,neu
Ses05M_impro04_F022,"Not- Not selling pot, right?",q,neu
Ses05M_impro04_M025,"Right, probably not selling pot. I don't want to go to jail.",ans,fru
Ses05M_impro04_F023,Okay so.,s,neu
Ses05M_impro04_F024,Fair enough.,o,neu
Ses05M_impro04_M026,Because that would just really be a topper for me.,o,fru
Ses05M_impro04_F025,Yeah.  [LAUGHTER] It's a joke.,s,xxx
Ses05M_impro04_M027,Thank you.  Ha ha.,g,fru
Ses05M_impro04_F026,"Sorry.  So, let's see.  What else?  What's available? What? Um.  Hmm.",q,neu
Ses05M_impro04_M028,See what I mean?  You can't even think of anything.,o,fru
Ses05M_impro04_F027,"Well, not off the top of head.  It will just take you know take a minute.  But do you have any, like, special skills?",q,neu
Ses05M_impro04_M029,I can juggle.,ans,fru
Ses05M_impro04_F028,"Well, maybe we can find you something with juggling.",o,neu
Ses05M_impro04_M030,I've tried.,s,fru
Ses05M_impro04_F029,Have you checked out Craig's List and stuff?,q,neu
Ses05M_impro04_M031,Yes!  Nobody wants a juggler.  I am not going to -- I'm not going to dress up like a clown. I'm not going to dress up like a freaking clown. No.,ans,fru
Ses05M_impro04_F030,"What if you do kids parties? oh, come on.",q,neu
Ses05M_impro04_M032,"No, it's demeaning.  I am not a clown.  I have talent.  Clowns don't have talent.",ans,fru
Ses05M_impro04_F031,Okay.  All right.,ag,neu
Ses05M_impro04_M033,It's that simple.,o,fru
Ses05M_impro04_F032,"Okay.  Well, fine. we won't- I won't argue with you about that.",s,neu
Ses05M_impro04_M034,yeah.,b,fru
Ses05M_impro04_F033,What else?  I can't -- uh.  I'm drawing a blank here.,q,fru
Ses05M_impro04_M035,You and me both.,ag,fru
Ses05M_impro04_F034,"That's rough.  I'm really sorry, Ryan.",o,neu
Ses05M_impro04_M036,"Yeah, life sucks.",o,xxx
Ses05M_impro04_F035,"Well, um, is that kinda like the side of you that you let people see when you go into these job interviews?",q,neu
Ses05M_impro04_M037,"No, I just showed that for you [garbage].",ans,fru
Ses05M_impro04_F036,"Okay.  Well, that's good.  Yeah, I mean, you're you're- when you're happy you're a pretty personable guy.  And I don't --I don't",o,neu
Ses05M_impro04_M038,I like to think so.,o,fru
Ses05M_impro04_F037,I can't see where the issue would be. so,s,neu
Ses05M_impro04_M039,see.,s,fru
Ses05M_impro04_M040,"Yeah, well thanks for your help.",g,ang
Ses05M_impro04_F038,"I'm sorry.  Good luck, man.",ap,xxx
Ses05M_impro04_M041,I'll need it.,s,sad
Ses05M_impro05_M000,Hi. Um-  My luggage didn't come out of the conveyor thingy.,s,neu
Ses05M_impro05_F000,Hmm. Hmm.,b,neu
Ses05M_impro05_M001,"So, um, what do I do?",q,neu
Ses05M_impro05_F001,How long ago was that?,q,neu
Ses05M_impro05_M002,"Uh- Like, an hour and a half ago.  I talked to somebody who was standing out there and they said wait.  Sometimes like random butt- pieces come out late.",ans,neu
Ses05M_impro05_F002,Uh-Hmm.,b,neu
Ses05M_impro05_M003,"And so I waited there, but nothing came.",s,neu
Ses05M_impro05_F003,"Um, okay.  Well, you can fly- file a claim.  Where were you coming from?",q,neu
Ses05M_impro05_M004,"I was coming from um the Midwest, like Iowa.",ans,neu
Ses05M_impro05_F004,"So, within the country, though? umm",q,neu
Ses05M_impro05_M005,"Yeah, I know I was in the country.  I mean, it's not that complicated.",ans,neu
Ses05M_impro05_F005,"Yeah, well the chances of it being lost forever, you know, are slight because -- -- you were in the --",s,neu
Ses05M_impro05_M006,"Well, I would hope so.",o,neu
Ses05M_impro05_F006,"Well, I mean, you know that happens pretty often that sometimes baggage -- -- gets lost.",s,neu
Ses05M_impro05_M007,People lose --,s,neu
Ses05M_impro05_M008,forever?,q,sur
Ses05M_impro05_F007,yeah.,ans,neu
Ses05M_impro05_M009,"You know, this is actually, I mean it's -- it's a really important piece of luggage.",s,neu
Ses05M_impro05_F008,Okay.,b,neu
Ses05M_impro05_M010,"I mean, it's not big or anything like that.  I mean, it's not worth a lot of money or anything.",s,neu
Ses05M_impro05_F009,Did you have insurance on your flight?,q,neu
Ses05M_impro05_M011,"No.  I mean, don't you get insurance when you buy your ticket or something?",ans,xxx
Ses05M_impro05_F010,"No, you have to buy it now.  It's like thirty dollar extra.",s,neu
Ses05M_impro05_M012,"Well, no one even told me about that.  Like, why would I think to buy insurance?  I was- It's like a three hour flight.",q,fru
Ses05M_impro05_F011,"well, it's something that worth",s,neu
Ses05M_impro05_F012,"yeah, I don't know.",ans,neu
Ses05M_impro05_M013,"How can you lose my luggage like from like, in --",q,fru
Ses05M_impro05_F013,Chances are it's probably just you know -- taking time being um- unloaded from the airplane.,ans,neu
Ses05M_impro05_M014,-- four hundred miles?,q,xxx
Ses05M_impro05_M015,"I should hope so.  You know, I need that today.",s,fru
Ses05M_impro05_F014,"Um, well, there's not much I can do.  I can, you can file this report and we'll call you when it comes in.",s,neu
Ses05M_impro05_M016,"Let me explain to you what the problem is.  My grandfather's remains are in that bag.  And I have to, like, distribute them today.  We're suppose to, you know, throw them out to the sea today.",s,fru
Ses05M_impro05_F015,wow.,s,neu
Ses05M_impro05_F016,"Wow.  Well, that's really important, obviously.  But, um --",ag,neu
Ses05M_impro05_M017,"Yeah.  I mean, if you have a suggestion, like, it would be great to help me out here.",s,fru
Ses05M_impro05_F017,"Uh- Actually, I don't know that that's legal. Um- it is the issue",s,neu
Ses05M_impro05_M018,"Well, I don't care if it's legal.  It's happened.  It's already done.",s,fru
Ses05M_impro05_F018,"Yeah I mean, Your bag might have been confiscated because it's --",s,neu
Ses05M_impro05_M019,"Well, could you tell me if it's been confiscated then.",q,fru
Ses05M_impro05_F019,-- it's a biohazard. so- um,s,neu
Ses05M_impro05_M020,"I mean, some information here would be great.  Some help.  Can you, like, type something in and find out?",q,fru
Ses05M_impro05_F020,Yeah.  Let me just call security.,ans,neu
Ses05M_impro05_M021,That would be great.  Thank you very much.,o,fru
Ses05M_impro05_F021,[LAUGHTER] Okay.  Hold on.,c,neu
Ses05M_impro05_M022,Thank you,g,neu
Ses05M_impro06_F000,"Ryan, what's wrong?",q,xxx
Ses05M_impro06_M000,I just got some bad news.,ans,sad
Ses05M_impro06_F001,What?,q,xxx
Ses05M_impro06_M001,"My friend, Shotty, passed away.",ans,sad
Ses05M_impro06_F002,"Oh, I'm so sorry",ap,sad
Ses05M_impro06_M002,"The end, he's been sick for awhile.  He had cancer.",s,sad
Ses05M_impro06_F003,"Oh, my gosh.",s,sad
Ses05M_impro06_M003,"Yeah.  It's just, I never thought it would actually happen, you know? I mean- He's such a fighter and he's always so positive about everything.",o,sad
Ses05M_impro06_FXX0,Yeah.,b,-
Ses05M_impro06_M004,"You know, he was gonna, and we -- all the way up to the end we were just talking about how- you know all the stuff we were gonna do and, you know.  When he finally kicked this stupid cancer, you know, and we were gonna --",o,sad
Ses05M_impro06_M005,"he wanted to travel, you know.  And he's so talented.  Probably the most talented person I have ever met in my entire life.",o,sad
Ses05M_impro06_FXX1,Yeah.,b,-
Ses05M_impro06_F004,What did he do?,q,sad
Ses05M_impro06_M006,"He was a designer, you know.  But he did everything. You know, He painted and he- and he did costume design, he did set design, he did lighting, he was --",ans,sad
Ses05M_impro06_M007,"he just did everything.  He was literally, literally the most talented guy I have ever met in my entire life.",o,sad
Ses05M_impro06_M008,And he's gone now and I  -- I just can't believe it.,o,sad
Ses05M_impro06_F005,Yeah.  I'm so sorry.,ap,sad
Ses05M_impro06_M009,"I mean, one second you think, you know, you're just having a conversation and then --",o,sad
Ses05M_impro06_M010,"you know, sometimes you think you want to make that phone call, or you think you want to tell somebody something, or something like that.  Do you know what I mean?  Like that's -- he was the person that I did that with.  You know, like, that's the person who I needed to call to tell things to all the time.",o,sad
Ses05M_impro06_F006,You guys have been-,s,sad
